text	tags
-	O
Successful	O
completion	O
of	O
3	B-no_years
years	I-no_years
of	O
post	O
G.C.E	O
(	O
A	B-edu_level
/	I-edu_level
L	I-edu_level
)	O
studies	O
in	O
Computer	B-specialization
Science	I-specialization
is	O
required	O
.	O
 	O

Prior	O
Work	O
Experience	O
-	O
Minimum	O
of	O
4	B-no_years
years	I-no_years
work	O
experience	O
performing	O
progressively	O
more	O
responsible	O
 	O
work	O
in	O
the	O
management	O
,	O
administration	O
and	O
utilization	O
of	O
computer	O
systems	O
and	O
networks	O
,	O
PC	O
and	O
customer	O
 	O
support	O
,	O
programming	B-res_skill
,	O
hardware	O
and	O
software	O
troubleshooting	O
,	O
training	B-res_skill
users	O
on	O

Language	O
Proficiency	O
-	O
Level	O
IV	O
(	O
Fluency	O
)	O
reading	O
,	O
writing	O
,	O
and	O
speaking	O
English	B-res_skill
is	O
required	O
.	O

Level	O
IV	O
(	O
Fluency	O
)	O
reading	O
,	O
writing	O
,	O
and	O
speaking	O

Job	O
Knowledge	O
-	O
Comprehensive	O
knowledge	O
of	O
IT	B-specialization
system	I-specialization
management	I-specialization
,	O
installing	B-res_skill
software	O
and	O
hardware	O
,	O
fact	O
 	O

Skills	O
&	O
Abilities	O
Ability	O
to	O
develop	B-res_skill
course	O
material	O
for	O
IT	O
Training	O
Programs	O
.	O

Ability	O
to	O
explain	B-res_skill
and	O
present	B-res_skill
technical	O
information	O
to	O
users	O
.	O

Good	O
technical	O
skills	O
to	O
troubleshoot	O
diagnose	B-res_skill
and	O
resolve	B-res_skill
hardware	O
/	O
software	O
/	O
conferencing	O
problems	O
,	O
 	O
maximize	O
resources	O
and	O
system	O
capabilities	O
.	O

Ability	O
to	O
balance	B-res_skill
workload	O
demands	O
between	O
the	O
central	O
system	O
 	O
and	O
individual	O
user	O
requirements	O
.	O

Job	O
Vacancies	O
 	O

SRIPALIE	B-company
 	I-company
CONTRACTORS	I-company

Sc	O
Engineering	B-specialization
with	O
8	B-no_years
years	I-no_years
experience	O
or	O
NDT	B-edu_level
with	O
15	B-no_years
years	I-no_years
experience	O
.	O

Should	O
be	O
familiar	O
with	O
Auto	B-res_skill
Cad	I-res_skill
,	O
MS	B-res_skill
Projects	I-res_skill
and	O
other	O
MS	B-res_skill
office	I-res_skill
applications	O
 	O
Should	O
possess	O
capacity	O
to	O
participate	O
actively	O
in	O
progress	O
review	O
meetings	O
/	O
cost	O
control	O
/	O
quality	O
aspects	O
of	O
the	O
project	O
 	O
Site	O
Engineer	B-title
(	O
Colombo	B-location
Projects	O
)	O
 	O
B.	O

Sc	O
Engineering	B-specialization
(	O
Civil	O
)	O
with	O
minimum	O
2	B-no_years
years	I-no_years
or	O
NDT	B-edu_level
/	O
HNDE	B-edu_level
/	O
NDES	B-edu_level
(	O
Civil	O
)	O
8	B-no_years
years	I-no_years
experience	O
in	O
building	O
construction	O
.	O

Must	O
be	O
familiar	O
with	O
MS	B-res_skill
Project	I-res_skill
and	O
other	O
MS	B-res_skill
Office	I-res_skill
and	O
work	O
under	O
pressure	O
and	O
achieve	O
assigned	O
targets	O
in	O
the	O
project	O
.	O

Assistant	O
Engineer	B-title
Civil	O
/	O
MEP	O
(	O
Colombo	O
Projects	O
)	O
 	O
NDT	B-edu_level
/	O
NDES	B-edu_level
/	O
HNDE	B-edu_level
(	O
MEP	O
&	O
Civil	O
)	O
with	O
5	B-no_years
years	I-no_years
experience	O
in	O
building	O
construction	O
projects	O
 	O
Should	O
have	O
thorough	O
knowledge	O
on	O
activities	O
of	O
the	O
process	O
to	O
be	O
executed	O
,	O
inspection	O
of	O
material	O
as	O
per	O
required	O
standard	O
,	O
 	O
testing	O
and	O
commissioning	O
of	O
Civil	O
or	O
Mechanical	O
works	O
.	O

Project	O
Quantity	O
Surveyor	B-title
(	O
Colombo	O
Projects	O
)	O
 	O
B.	O

Sc	O
(	O
QS	B-specialization
)	O
with	O
5	O
years	O
experience	O
or	O
HND	B-edu_level
with	O
8	B-no_years
years	I-no_years
experience	O
or	O
NCT	B-edu_level
with	O
10	B-no_years
years	I-no_years
experience	O
.	O

Should	O
be	O
familiar	O
with	O
Auto	B-res_skill
Cad	I-res_skill
,	O
MS	B-res_skill
Projects	I-res_skill
other	O
MS	B-res_skill
office	I-res_skill
applications	O
 	O
Ability	O
to	O
work	O
long	O
hours	O
and	O
independently	O
with	O
minimum	O
supervision	O
 	O
Assistant	B-seniority
Quantity	O
Surveyor	B-title
(	O
Colombo	B-location
Projects	O
)	O
 	O
HND	B-edu_level
(	O
QS	B-specialization
)	O
with	O
2	B-no_years
years	I-no_years
or	O
NCT	B-edu_level
-	O
QS	B-specialization
with	O
3	B-no_years
years	I-no_years
working	O
experience	O
in	O
building	O
Construction	O
projects	O
 	O

E	O
-	O
Mail:-	O

Bishop	B-company
's	I-company
College	I-company
,	O
 	O
Colombo	O
3	O
 	O

Skilled	O
in	O
Art	O
and	O
Craft	O
 	O
Minimum	O
of	O
2	B-no_years
years	I-no_years
of	O
teaching	O
experience	O
as	O
a	O
teacher	O
 	O
at	O
school	O
level	O
.	O

Closing	O
Date	O
for	O
applications	O

AMERICAN	O
EMBASSY	O
,	O
COLOMBO	O
 	O

Selected	O
candidates	O
will	O
perform	O
guard	O
services	O
to	O
safeguard	B-res_skill
U.	O

O	B-edu_level
/	I-edu_level
L	I-edu_level
is	O
required	O
.	O

Language	O
Proficiency	O
Level	O
II	O
(	O
Limited	O
Knowledge	O
)	O

Level	O
III	O
(	O
Good	O
Working	O
Knowledge	O
)	O
reading	O
,	O
writing	O
,	O
and	O
speaking	O
Sinhala	B-res_skill

Skills	O
&	O
Abilities	O
-	O
Must	O
have	O
the	O
ability	O
to	O
follow	B-res_skill
instructions	I-res_skill
given	O
by	O
supervisors	O
.	O

Must	O
have	O
the	O
flexibility	B-res_skill
 	O
to	O
adapt	O
to	O
shift	O
work	O
.	O

Should	O
be	O
physically	B-res_skill
fit	I-res_skill
to	O
perform	O
the	O
job	O
duties	O
.	O

PEOPLE	O
'S	O
BANK	O
 	O

HEAD	B-title
OF	O
HUMAN	O
RESOURCES	O
 	O

Reviewing	B-res_skill
current	O
policies	O
,	O
systems	O
and	O
procedures	O
of	O
the	O
bank	O
relating	O
to	O
key	O
result	O
areas	O
of	O
 	O
Human	O
Resource	O
Management	O
and	O
develop	O
new	O
strategies	O
to	O
achieve	O
corporate	O
goals	O
of	O
the	O
 	O
bank	O
.	O

Preparation	B-res_skill
and	O
Defining	O
of	O
policies	O
&	O
programmes	O
that	O
cover	O
Human	O
Resource	O
Development	O
&	O
 	O
Management	O
.	O

Providing	O
guidance	B-res_skill
to	O
all	O
functions	O
relating	O
to	O
key	O
result	O
areas	O
of	O
Human	O
Resource	O
Management	O
 	O
and	O
General	O
Administration	O
.	O

Developing	B-res_skill
succession	O
plans	O
and	O
career	O
path	O
planning	O
for	O
employees	O
.	O

Handling	B-res_skill
Trade	O
unions	O
,	O
discipline	O
and	O
matters	O
pertaining	O
to	O
industrial	O
relations	O
.	O

Qualifications	O
and	O
Experience	O
 	O
A	O
Degree	B-edu_level
in	O
Human	B-specialization
Resources	I-specialization
Management	I-specialization
or	O
Business	B-specialization
Management	I-specialization
from	O
a	O
recognized	O
 	O
university	O
and	O
/	O
or	O
full	O
membership	O
of	O
the	O
CIPM	B-qualification
Sri	O
Lanka	O
/Chartered	O
Institute	O
of	O
Personnel	O
and	O
 	O
Development	O
UK	O
.	O

Master	B-edu_level
from	O
a	O
recognized	O
university	O
will	O
be	O
an	O
added	O
qualification	O
.	O

He	O
/	O

organization	O
preferably	O
with	O
over	O
5000	O
employees	O
,	O
covering	O
all	O
key	O
result	O
areas	O
of	O
 	O
Resource	O
Management	O
,	O
out	O
of	O
which	O
5	O
years	O
in	O
the	O
senior	O
management	O
in	O
Human	O
 	O
Age	O
 	O
Age	O
should	O
be	O
above	O
40	B-no_years
years	I-no_years
and	O
below	O
55	B-no_years
years	I-no_years
as	O
at	O
closing	O
date	O
of	O
applications	O
.	O

Deputy	O
General	O
Manager	O
(	O
Human	O
Resources	O
)	O
 	O

LANKA	B-company
 	I-company
Sathosa	I-company
 	O
Price	O
setter	O
to	O
the	O
Nation	O
 	O

Persons	O
who	O
have	O
passed	O
6	O
Subjects	O
in	O
G.C.E.(0	O
/	O
L	O
)	O
Examination	O
including	O
mathematics	O
.	O

(	O
A	B-edu_level
/	I-edu_level
L	I-edu_level
Examination	O
.	O
 	O

Having	O
obtained	O
proficiency	O
certificate	O
not	O
below	O
than	O
the	O
National	B-qualification
Vocational	I-qualification
Qualification	I-qualification
Level	O
4	O
,	O
issued	O
by	O
a	O
 	O
Technical	O
Vocational	O
Training	O
Institute	O
accepted	O
by	O
the	O
Tertiary	O
and	O
Vocational	O
Education	O
Commission	O
,	O
 	O
Internal	O
Candidates	O
(	O
1	O
or	O
2	O
below	O
)	O
 	O
1	O
.	O

Employees	O
in	O
Unskilled	O
Level	O
who	O
have	O
completed	O
a	O
minimum	O
of	O
five	B-no_years
years	I-no_years
working	O
experience	O
in	O
the	O
relevant	O
field	O
 	O
With	O
 	O
Skills	O
not	O
below	O
than	O
the	O
National	B-qualification
Vocational	I-qualification
Qualification	I-qualification
Level	O
2	O
,	O
proven	O
at	O
a	O
trade	O
test	O
.	O

Age	O
should	O
be	O
not	O
less	O
than	O
18	B-no_years
years	I-no_years
and	O
not	O
more	O
than	O
30	B-no_years
years	I-no_years
.	O

(	O
The	O
upper	O
age	O
limit	O
will	O
not	O
apply	O
to	O
the	O
internal	O
candidates	O
)	O
 	O

Male	B-gender
Candidates	O
Preferred	O
 	O
Salary	O
Scale	O
PL	O
-1	O

(	O
The	O
organization	O
will	O
correspond	O
only	O
with	O
the	O
sort	O
listed	O
candidates	O
)	O
 	O

Vauxhall	O
Street	O
,	O
Colombo	B-location
2	I-location
.	O

University	B-company
of	I-company
Vocational	I-company
Technology	I-company
 	O
Ministry	O
of	O
Higher	O
Education	O
,	O
Technology	O
and	O
Innovations	O
 	O
VACANCIES	O
 	O

Lecturer	B-title
(	O
Probationary)/Senior	O
Lecturer	B-title
(	O

Age	O
 	O
Lecturer(Probationary	O
)	O
,	O
Senior	B-seniority
Lecturer(Grade	O
II	O
)	O

â¢	O
Professor	B-title
-	O
Age	O
should	O
be	O
not	O
less	O
than	O
Thirty	O

Selection	O
Procedure	O
 	O

Vice	O
Chancellor	O
/	O
Competent	O
Authority	O
 	O
University	O
of	O
Vocational	O
Technology	O
 	O
100	O
,	O
Kandawala	O
,	O
Rathmalana	B-location
.	O

1TEAM	O
 	O
NATION	O
 	O
VACAN	O
CY	O
 	O
Sri	O
Láº¡nka	O
 	O
Cricket	O
 	O
ASSISTANT	B-seniority
ACCOUNTANT-	O

â¢	O
University	O
degree	B-edu_level
in	O
accounting	B-specialization
/	O
finance	B-specialization
would	O
be	O
a	O
definite	O
advantage	O
.	O

â¢	O
At	O
least	O
3	B-no_years
years	I-no_years
of	O
working	O
experience	O
in	O
construction	O
related	O
industry	O

â¢	O
A	O
team	O
player	O
with	O
a	O
high	O
level	O
of	O
integrity	O
,	O
excellent	O
interpersonal	B-res_skill
and	O
 	O
communication	B-res_skill
skills	I-res_skill
.	O
 	O

â¢	O
Provide	O
assistance	B-res_skill
for	O
the	O
preparation	O
of	O
project	O
-	O
related	O
budgets	O
,	O
costing	O
etc	O
.	O

Recruitment	O
Age	O
:	O
 	O
â¢	O

Senior	O
Manager	O
Human	O
Resources	O
,	O
 	O
Sri	B-company
Lanka	I-company
Cricket	I-company
,	O
 	O
No	B-post_number
.	I-post_number
35	I-post_number
,	O
Maitland	O
Place	O
,	O
 	O
Colombo	B-location
7	I-location
 	O

VACANCY	O
 	O
ASSISTANT	B-seniority
 	O
ACCOUNTANT	B-title
 	O

A	B-edu_level
/	I-edu_level
L	I-edu_level
pass	O
.	O

(	O
Female	B-gender
/	O
Male	B-gender
required	O
)	O
.	O

MEDICAL	O
OFFICER	B-title
 	O
Vacancy	O
exists	O
for	O
a	O
full	O
time	O
Medical	O
 	O
Officer	B-title
In	O
-	O
Charge	O
of	O
the	O
Out	O
-	O
door	O
Patients	O
 	O
Department	O
and	O
Care	O
of	O
Indoor	O
Patients	O
.	O

Please	O
apply	O
before	O
25th	O
August	O
2020	O
to	O
:	O
 	O
Director	O
-	O
Administration	O
,	O
 	O
The	O
Kandy	O
Nursing	O
Homes	O
 	O
(	O
Pvt	O
)	O
Ltd.	O
,	O
 	O
No	B-post_number
.	I-post_number
25	I-post_number

MANAGER	B-title
 	O
Marketing	B-specialization
&	O
Sales	B-specialization
 	O
Mercantile	B-company
Corporation	I-company
Limited	I-company
involved	O
in	O
the	O
 	O
Business	O
of	O
Hardwares	O
and	O
Stainless	O
Steel	O
are	O
looking	O
 	O
for	O
an	O
energetic	O
and	O
vibrant	O
personality	O
to	O
lead	O
our	O
 	O
Marketing	O
and	O
Sales	O
Team	O
.	O

Requirement	O
 	O
Age	O
:	O
30	O
-	O
45	B-no_years
 	O
Degree	B-edu_level
or	O
other	O
professional	O
qualifications	O
in	O
Marketing	B-specialization
 	O
(	O
CIM	O
)	O
,	O
Sales	O
.	O

Minimum	O
of	O
five	B-no_years
years	I-no_years
'	O
experience	O
in	O
the	O
Marketing	B-specialization
&	O
 	O
Sales	B-specialization
field	O
preferably	O
in	O
Hardware	O
Business	O
.	O

Skills	O
and	O
Experience	O
 	O
Very	O
strong	O
Communication	B-res_skill
skills	I-res_skill
-	O
verbal	O
and	O
written	O
in	O
 	O
English	B-res_skill
.	O

Ability	O
to	O
build	B-res_skill
strong	O
client	O
relationships	O
 	O
â¢	O
Ability	O
to	O
prioritize	B-res_skill
and	O
multi	B-res_skill
task	I-res_skill
 	O
Previous	O
experience	O
in	O
Hardware	O
and	O
Stainless	O
Steel	O
 	O
materials	O
 	O

â¢	O
Managing	B-res_skill
customer	O
portfolios	O
,	O
files	O
and	O
any	O
customer	O
 	O
related	O
transactions	O
independently	O
.	O

Event	O
organizing	B-res_skill
.	O

Sending	O
timely	O
report	O
to	O
the	O
Managing	O
Director	B-title
 	O
Salary	O
-	O
Attractive	O
remuneration	O
package	O
(	O
based	O
on	O
experience	O
)	O
 	O
and	O
other	O
benefits	O
.	O

If	O
you	O
possess	O
the	O
required	O
attributes	O
detailed	O
above	O
,	O
 	O
please	O
submit	O
your	O
resume	O
to	O
:	O
 	O
merfresh	O
@sltnet.lk	O
or	O
mail	O
your	O
resume	O
to	O
 	O
Mercantile	B-company
Corporation	I-company
Limited	I-company
 	O
#	B-post_number
6	I-post_number
,	O
Charles	O
Drive	O
,	O
Colombo	B-location
6	I-location

SANASA	B-company
Campus	I-company
 	O

SANASA	O
CAMPUS	O
,	O
accredited	O
to	O
offer	O
3	O
job	O
oriented	O
special	O
degree	O
programmes	O
,	O
 	O
invites	O
you	O
to	O
join	O
its	O
Team	O
,	O
if	O
you	O
are	O
below	O
40	B-no_years
years	I-no_years
of	O
age	O
and	O
can	O
saticffied	O
the	O
 	O
relavant	O
job	O
profile	O
 	O
Lecturer	B-title
-	O
Department	O
of	O
Banking	O
and	O
Finance	O
 	O
Profile	O
of	O
the	O
Candidate	O
:	O
 	O
Special	O
Degree	B-edu_level
with	O
a	O
first	O
class	O
or	O
Second	O
Upper	O
,	O
Division	O
in	O
Economics	B-specialization
 	O
/	O
Business	B-specialization
Administration	I-specialization
/	O
Accounting	B-specialization
,	O
specialized	O
in	O
Banking	O
&	O
Finance	O
 	O
from	O
a	O
recognized	O
University	O
.	O

Lecturer	B-title
-	O
Department	O
of	O
Regional	O
Science	O
&	O
Planning	O
 	O
Profile	O
of	O
the	O
Candidate	O
:	O
 	O
Degree	B-edu_level
with	O
a	O
first	O
class	O
or	O
Second	O
Upper	O
,	O

Lecturer	B-title
-	O
Department	O
of	O
Insurance	O
and	O
Risk	O
Management	O
 	O
Profile	O
of	O
the	O
Candidate	O
:	O
 	O
Degree	B-edu_level
with	O
a	O
first	O
class	O
or	O
Second	O
Upper	O
,	O

*	O

Registrar	O
/	O
COO	O
SANASA	O
Campus	O
Limited	O
,	O
Paragammana	O
,	O
Hettimulla	O
,	O
Kegalle	B-location
.	O

MARKETING	O
EXECUTIVES	B-title
 	O
&	O
 	O
DISTRIBUTORS	B-title
 	O

*	O
MARKETING	O
EXECUTIVES	B-title
 	O

POSTGRADUATE	O
INSTITUTE	O
OF	O
 	O
AGRICULTURE	O
 	O

Remuneration	O
:	O
Rs	O
.	O

[	O
Applications	O
which	O
are	O
not	O
received	O
 	O
through	O
proper	O
channels	O
will	O
not	O
be	O
considered	O
]	O
 	O

Box	O
55	O
,	O
Old	O
Galaha	O
Road	O
,	O
Peradeniya	B-location
,	O
20400	O
on	O
 	O
or	O
before	O
30th	O
August	O
2020	O
.	O

STATE	O
PRINTING	O
CORPORATION	O
 	O

POST	O
OF	O
ASSISTANT	B-seniority
MANAGER	B-title
(	O
SECURITY	O
)	O
 	O

Checking	B-res_skill
the	O
overall	O
supervision	O
of	O
Security	O
operations	O
of	O
the	O
corporation	O
including	O
 	O
fire	O
security	O
.	O

Conducting	B-res_skill
investigations	I-res_skill
and	O
inquiries	O
as	O
and	O
when	O
required	O
by	O
the	O
Management	O
.	O

Enacting	B-res_skill
security	O
plans	O
regarding	O
corporation	O
personnel	O
and	O
property	O
.	O

Supervision	B-res_skill
of	O
making	O
security	O
arrangements	O
in	O
security	O
printing	O
department	O
.	O

Co	B-res_skill
-	I-res_skill
ordinate	I-res_skill
with	O
the	O
senior	O
management	O
regarding	O
special	O
security	O
arrangements	O
as	O
 	O
and	O
when	O
required	O
.	O

Co	B-res_skill
-	I-res_skill
ordinate	I-res_skill
with	O
the	O
police	O
force	O
or	O
any	O
other	O
security	O
force	O
with	O
regard	O
to	O
the	O
 	O
required	O
Security	O
arrangement	O
.	O

Qualifications	O
:	O
 	O
Educational	O
:	O
(	O
External	O
)	O
 	O

(	O
Internal	O
)	O
 	O
Those	O
who	O
have	O
completed	O
minimum	O
of	O
five(05	B-no_years
)	I-no_years
years	I-no_years
satisfactory	O
service	O
in	O
Junior	B-seniority
 	O
Manager	B-title
category	O
in	O
the	O
relevant	O
field	O
are	O
eligible	O
for	O
this	O
post	O
.	O

Scale	O
:	O
 	O
MM	O

Age	O
Limit	O
:	O
 	O

Chairman	O
 	O
State	B-company
Printing	I-company
Corporation	I-company
 	O

POST	O
OF	O
FINTECH	O
DEVELOPMENT	O
OFFICER	B-title
 	O

Engineering	O
in	O
Computer	B-specialization
Science	I-specialization
 	O

Sc	O
.	O

Director	O
â	O
Human	O
Resources	O
 	O
Central	B-company
Bank	I-company
of	O
Sri	O
Lanka	O
,	O
No	B-post_number
.	I-post_number
30	I-post_number
,	O
Janadhipathi	O
Mawatha	O
,	O
Colombo	B-location
1	I-location
 	O
Telephone	O
,	O
Fax	O
:	O
11	O
-	O
2477715	O

RESIDENT	O
FARM	O
MANAGER	B-title
 	O

Graduate	O
in	O
Agriculture	B-specialization
with	O
minimum	O
 	O
10	B-no_years
years	I-no_years
experience	O
and	O
salary	O
not	O
less	O
 	O
than	O
Rs	O
.	O
100,000/	O
=	O
 	O

XÐ¡-10022	O
 	O
C	O
/	O

ASIRI	O
 	O
HEALTH	O
 	O

With	O
a	O
proven	O
track	O
record	O
of	O
being	O
an	O
innovative	O
leader	O
 	O
and	O
a	O
hi	O
-	O
tech	O
provider	O
of	O
a	O
wide	O
range	O
of	O
invaluable	O
healthcare	O
services	O
,	O
our	O
hospitals	O
in	O
the	O
 	O
group	O
are	O
situated	O
in	O
strategic	O
locations	O
in	O
Colombo	B-location
,	O
the	O
South	O
and	O
Kandy	O
enabling	O
us	O
to	O
 	O
provide	O
high	O
quality	O
medical	O
facilities	O
to	O
society	O
.	O

We	O
are	O
looking	O
for	O
a	O
suitable	O
individual	O
to	O
work	O
in	O
the	O
Wellness	O
department	O
at	O
Asiri	B-company
Surgical	I-company
 	I-company
Hospital	I-company
PLC	I-company
.	O

If	O
 	O
DIETITIAN	B-title
 	O

Registered	O
with	O
the	O
Sri	O
Lanka	O
Medical	O
Council	O
as	O
a	O
Dietitian	B-title
.	O

Minimum	O
1	B-no_years
years	I-no_years
'	O
experience	O
in	O
the	O
relevant	O
field	O
.	O

Be	O
people	O
-	O
oriented	O
with	O
strong	O
interpersonal	B-res_skill
and	O
PR	B-res_skill
skills	I-res_skill
.	O

A	O
pleasing	O
personality	O
and	O
a	O
good	O
command	O
of	O
the	O
English	B-res_skill
language	O
.	O

Good	O
counselling	B-res_skill
skills	I-res_skill
.	O

Communication	O
skills	O
in	O
the	O
Tamil	B-res_skill
language	O
would	O
be	O
an	O
added	O
advantage	O
.	O

Age	O
below	O
45	B-no_years
years	I-no_years
.	O

Please	O
send	O
your	O
updated	O
CV	O
within	O
7	O
days	O
of	O
this	O
advertisement	O
by	O
e	O
-	O
mail	O
or	O
by	O
post	O
,	O
 	O
indicating	O
the	O
post	O
applied	O
for	O
on	O
the	O
top	O
left	O
hand	O
corner	O
of	O
the	O
envelope	O
or	O
in	O
the	O
 	O
subject	O
line	O
of	O
the	O
e	O
-	O
mail	O
,	O
to	O
:	O
 	O
Director	O
â	O
Human	O
Resources	O
,	O
 	O
Asiri	B-company
Surgical	I-company
Hospital	I-company
PLC	I-company
 	O

Sales	O
Manager	B-title
-	O
Projects	O
 	O

Please	O
send	O
your	O
resume	O
 	O
together	O
with	O
details	O
of	O
two	O
non	O
-	O
related	O
referees	O
stating	O
the	O
job	O
title	O
applied	O
,	O
within	O
7	O
 	O
days	O
of	O
this	O
advertisement	O
to	O
the	O
below	O
address	O
or	O
email	O
careers@telesoniclanka.com	O
 	O

UNIVERSITY	B-company
OF	I-company
JAFFNA	I-company
,	O
SRI	O
LANKA	O
 	O

Temporary	B-seniority
Assistant	B-seniority
Lecturer	B-title
/	O
Temporary	B-seniority
Demonstrator	B-title
in	O
Agronomy	O
/	O
 	O

A	O
Degree	B-edu_level
with	O
Specialization	O
in	O
the	O
relevant	O
subject	O
with	O
First	O
or	O
 	O
Second	O
Class	O
(	O
Upper	O
Division	O
)	O

A	O
Degree	B-edu_level
with	O
Specialization	O
in	O
the	O
relevant	O
subject	O
with	O
Second	O
Class	O
 	O
(	O
Lower	O
Division	O
)	O

(	O
a	O
)	O
A	O
Degree	B-edu_level
with	O
Specialization	O
in	O
the	O
relevant	O
subject	O
without	O
 	O
Honours	O
or	O
any	O
other	O
degree	B-edu_level
with	O
at	O
least	O
Second	O
Class	O
Honours	O
and	O
 	O
(	O
b	O
)	O
a	O
recognized	O
postgraduate	O
degree	O
in	O
the	O
relevant	O
subject	O
.	O

REGISTRAR	O
 	O
UNIVERSITY	B-company
OF	I-company
JAFFNA	I-company
 	O

USAID	O
 	O
PARTNER	O
 	O

PARTNER	O
has	O
two	O
main	O
objectives	O
:	O
 	O
1	O
)	O
improve	B-res_skill
government	O
efficiency	O
through	O
strengthened	O
public	O
financial	O
management	O
and	O
 	O
2	O
)	O

Objectives	O
 	O
PARTNER	O
is	O
hiring	O
a	O
Revenue	O
Mobilization	O
Expert	B-title
.	O

The	O
Expert	O
will	O
join	O
a	O
dynamic	O
team	O
to	O
support	O
 	O
government	O
efficiency	O
and	O
trade	O
strategic	O
initiatives	O
and	O
will	O
help	O
solve	O
multidimensional	O
 	O
problems	O
,	O
improve	O
performance	O
,	O
and	O
generate	B-res_skill
value	O
for	O
USAID	O
and	O
the	O
Government	O
of	O
Sri	O
Lanka	O
 	O
(	O
GOSL	O
)	O
.	O

gap	O
 	O
sis	O
to	O
develop	O
 	O

The	O
Revenue	O
Mobilization	O
Expert	O
will	O
coordinate	B-res_skill
closely	O
on	O
a	O
day	O
-	O
to	O
-	O
day	O
basis	O
with	O
the	O
PARTNER	O
 	O
Customs	O
Expert	O
.	O

The	O
Revenue	O
Mobilization	O
Expert	O
will	O
also	O
provide	O
strategic	B-res_skill
support	I-res_skill
,	O
analysis	B-res_skill
and	O
advice	O
on	O
an	O
'	O
as	O
 	O
needed	O
'	O
basis	O
to	O
the	O
Trade	O
component	O
of	O
PARTNER	O
on	O
areas	O
of	O
GOSL	O
's	O
revenue	O
regime	O
both	O
policy	O
 	O
and	O
administration	O
practices	O
-	O
which	O
may	O
be	O
detrimental	O
to	O
Sri	O
Lanka	O
's	O
trade	O
and	O
competitiveness	O
.	O

Specific	O
